Depth W14,Temp W14,Depth W47,Temp W47,Depth W1,Temp W1,Depth W4,Temp W4,Depth W5,Temp W5
,,,,,,,,780,5.446
,,,,,,,,781,5.366
,,,,,,,,782,5.287
,,,,,,,,783,5.331
,,,,,,,,784,5.41
,,,,,,,,785,5.508
,,,,,,,,786,5.57
,,,,,,,,787,5.594
,,,,,,,,788,5.577
,,,,,,,,789,5.634
,,,,,,,,790,5.782
,,,,,,,,791,5.918
,,,,,,,,792,6.005
,,,,,,,,793,6.095
,,,,,,,,794,6.049
,,,,,,,,795,6.018
,,,,,,,,796,6.001
,,,,,,,,797,6.086
,,,,,,,,798,6.088
,,,,,,,,799,6.126
,,,,,,,,800,6.076
,,,,,,,,801,5.953
,,,,,,,,802,6.017
,,,,,,,,803,6.249
,,,,,,,,804,6.2
,,,,,,,,805,6.227
,,,,,,,,806,6.262
,,,,,,,,807,6.262
,,,,,,,,808,6.265
,,,,,,,,809,6.322
,,,,,,,,810,6.339
,,,,,,,,811,6.342
,,,,,,,,812,6.262
,,,,,,,,813,6.181
,,,,,,,,814,6.156
,,,,,,,,815,6.144
,,,,,,,,816,6.213
,,,,,,,,817,6.285
,,,,,,,,818,6.315
,,,,,,,,819,6.364
,,,,,,,,820,6.46
,,,,,,,,821,6.751
,,,,,,,,822,6.726
,,,,,,,,823,6.738
,,,,,,,,824,6.804
,,,,,,,,825,6.781
,,,,,,,,826,6.778
,,,,,,,,827,6.823
,,,,,,,,828,6.956
,,,,,,,,829,6.98
,,,,,,,,830,6.976
,,,,,,,,831,6.918
,,,,,,,,832,6.882
,,,,,,,,833,7.071
,,,,,,,,834,7.173
,,,,,,,,835,7.202
,,,,,,,,836,7.08
,,,,,,,,837,7.011
,,,,,,,,838,6.917
,,,,,,,,839,6.905
,,,,,,,,840,6.887
,,,,,,,,841,7.103
,,,,,,,,842,7.21
,,,,,,,,843,7.309
,,,,,,,,844,7.441
,,,,,,,,845,7.503
,,,,,,,,846,7.457
,,,,,,,,847,7.784
,,,,,,,,848,7.81
,,,,,,,,849,7.976
,,,,,,,,850,8.003
,,,,,,,,851,8.003
,,,,,,,,852,7.929
,,,,,,,,853,7.875
,,,,,,,,854,7.846
,,,,,,,,855,7.764
,,,,,,,,856,7.687
,,,,,,,,857,7.646
,,,,,,,,858,7.63
,,,,,,,,859,7.705
,,,,,,,,860,7.806
,,,,,,,,861,7.91
,,,,,,,,862,7.873
,,,,,,,,863,7.943
,,,,,,,,864,7.945
,,,,,,,,865,7.822
,,,,,,,,866,8.166
,,,,,,,,867,8.288
,,,,,,,,868,8.363
,,,,,,,,869,8.449
,,,,,,,,870,8.401
,,,,,,,,871,8.412
,,,,,,,,872,8.455
,,,,,,,,873,8.542
,,,,,,,,874,8.577
,,,,,,,,875,8.568
,,,,,,,,876,8.571
,,,,,,,,877,8.558
,,,,,,,,878,8.5
,,,,,,,,879,8.491
,,,,,,,,880,8.384
,,,,,,,,881,8.369
,,,,,,,,882,8.38
,,,,,,,,883,8.37
,,,,,,,,884,8.281
,,,,,,,,885,8.356
,,,,,,,,886,8.454
,,,,,,,,887,8.581
,,,,,,,,888,8.679
,,,,,,,,889,8.684
,,,,,,,,890,8.686
,,,,,,,,891,8.594
,,,,,,,,892,8.723
,,,,,,,,893,8.724
,,,,,,,,894,8.769
,,,,,,,,895,8.744
,,,,,,,,896,8.703
,,,,,,,,897,8.704
,,,,,,,,898,8.926
,,,,,,,,899,9.073
,,,,,,,,900,9.033
,,,,,,,,901,9.035
,,,,,,,,902,9.179
,,,,,,,,903,10.062
,,,,,,,,904,12.194
,,,,,,,,905,13.563
,,,,,,,,906,14.697
,,,,,,,,907,15.679
,,,,,,,,908,16.698
,,,,,,,,909,17.592
,,,,,,,,910,18.846
,,,,,,,,911,19.831
,,,,,,,,912,20.375
,,,,,,,,913,20.899
,,,,,,,,914,21.336
,,,,,,,,915,21.537
,,,,,,,,916,21.983
,,,,,,,,917,22.481
,,,,,,,,918,22.792
,,,,,,,,919,23.366
,,,,,,,,920,23.775
